,load,temperature
2018-01-01 00:00:00,1077.5068821073085,13.0
2018-01-01 00:15:00,1052.2097237739913,12.0
2018-01-01 00:30:00,1030.538203393087,12.0
2018-01-01 00:45:00,1066.2766200596668,12.0
2018-01-01 01:00:00,1089.9701533930963,11.0
2018-01-01 01:15:00,1077.4946360853507,11.0
2018-01-01 01:30:00,1056.5656717996435,10.0
2018-01-01 01:45:00,1073.6471551329755,10.0
2018-01-01 02:00:00,1091.6712551329708,10.0
2018-01-01 02:15:00,1077.9088301329757,9.0
2018-01-01 02:30:00,1060.53454679967,9.0
2018-01-01 02:45:00,1093.049480132987,9.0
2018-01-01 03:00:00,1086.0760384662976,9.0
2018-01-01 03:15:00,1077.2277194186784,9.0
2018-01-01 03:30:00,1080.087702752002,8.0
2018-01-01 03:45:00,1063.6081479901536,8.0
2018-01-01 04:00:00,1101.1373563234254,8.0
2018-01-01 04:15:00,1084.157381323469,6.0
2018-01-01 04:30:00,1101.3564813234286,8.0
2018-01-01 04:45:00,1105.3624729901435,8.0
2018-01-01 05:00:00,1095.815069656786,8.0
2018-01-01 05:15:00,1133.5936029901336,8.0
2018-01-01 05:30:00,1107.9289577520085,7.0
2018-01-01 05:45:00,1120.4475827520268,7.0
2018-01-01 06:00:00,1130.6669994187046,7.0
2018-01-01 06:15:00,1138.2954194186896,7.0
2018-01-01 06:30:00,1137.2895360853538,8.0
2018-01-01 06:45:00,1149.4483694187015,8.0
2018-01-01 07:00:00,1148.1910277520396,8.0
2018-01-01 07:15:00,1150.8310610853227,7.0
2018-01-01 07:30:00,1184.3730360853842,7.0
2018-01-01 07:45:00,1205.5604617263607,7.0
2018-01-01 08:00:00,1198.469436726394,7.0
2018-01-01 08:15:00,1196.806638000363,6.0
2018-01-01 08:30:00,1191.4586639982992,7.0
2018-01-01 08:45:00,1210.6725944841749,7.0
2018-01-01 09:00:00,1224.6494368866836,7.0
2018-01-01 09:15:00,1217.2459208189198,7.0
2018-01-01 09:30:00,1211.8308884824246,8.0
2018-01-01 09:45:00,1179.936730043487,8.0
2018-01-01 10:00:00,1202.4718405954388,8.0
